0.416606,0.436383,0.403369,0.406241,0.424264,0.389559,0.460790,0.408656,0.460882,0.442102,0.478513,0.429931
0.229896,0.236596,0.224958,0.226059,0.232590,0.219449,0.243612,0.226972,0.243635,0.238370,0.247725,0.234504
0.248731,0.260895,0.240462,0.242265,0.253469,0.231733,0.275569,0.243777,0.275623,0.264369,0.285961,0.256952
0.124529,0.118378,0.127504,0.126932,0.122400,0.129712,0.107625,0.126420,0.107577,0.116188,0.097331,0.120621
0.186763,0.190205,0.183727,0.184432,0.188258,0.179992,0.192407,0.185006,0.192410,0.190935,0.192378,0.189234
0.082587,0.087698,0.078590,0.079494,0.084693,0.073977,0.092394,0.080238,0.092408,0.088967,0.094516,0.086150
0.155900,0.152321,0.157333,0.157084,0.154727,0.158073,0.145247,0.156849,0.145215,0.150940,0.138032,0.153688
0.686202,0.716165,0.666510,0.670759,0.697723,0.646247,0.754172,0.674342,0.754318,0.724962,0.782593,0.706313
0.100173,0.111162,0.092539,0.094212,0.104491,0.084370,0.123903,0.095612,0.123949,0.114236,0.132456,0.107636
0.126077,0.125908,0.125566,0.125717,0.126149,0.124544,0.123974,0.125827,0.123962,0.125634,0.121213,0.126092
0.105313,0.117931,0.096663,0.098552,0.110245,0.087488,0.132902,0.100136,0.132957,0.121503,0.143272,0.113858
0.622530,0.647761,0.606028,0.609584,0.632212,0.589104,0.680021,0.612584,0.680145,0.655201,0.704360,0.639448
0.493956,0.514567,0.480415,0.483337,0.501879,0.466477,0.540760,0.485800,0.540860,0.520623,0.560412,0.507788
0.368570,0.388050,0.355630,0.358431,0.376091,0.342202,0.412383,0.360790,0.412475,0.393720,0.430298,0.381674
0.109999,0.121066,0.102287,0.103979,0.114353,0.094013,0.133845,0.105394,0.133891,0.124154,0.142397,0.117520
0.165001,0.159724,0.167864,0.167286,0.163105,0.170325,0.151364,0.166782,0.151328,0.157958,0.143839,0.161584
0.119488,0.114933,0.121433,0.121082,0.117968,0.122601,0.106244,0.120756,0.106204,0.113217,0.097509,0.116648
0.126777,0.132732,0.122299,0.123302,0.129192,0.117249,0.138709,0.124132,0.138728,0.134276,0.141960,0.130892
0.112140,0.119043,0.106999,0.108147,0.114929,0.101236,0.126094,0.109099,0.126117,0.120849,0.130037,0.116899
0.186438,0.182304,0.188513,0.188107,0.184990,0.190137,0.175287,0.187747,0.175256,0.180860,0.168677,0.183796
0.165142,0.173610,0.159101,0.160435,0.168503,0.152505,0.183027,0.161548,0.183060,0.175924,0.189049,0.170925
0.113375,0.122817,0.106676,0.108153,0.117115,0.099402,0.133387,0.109385,0.133424,0.125408,0.140176,0.119816
0.063653,0.070109,0.058841,0.059916,0.066262,0.053447,0.076694,0.060807,0.076716,0.071798,0.080363,0.068105
0.149350,0.162294,0.140473,0.142412,0.154410,0.131055,0.177643,0.144037,0.177699,0.165958,0.188262,0.158116
1.263848,1.314980,1.231533,1.238422,1.283221,1.199288,1.383491,1.244267,1.383763,1.330464,1.437585,1.297898
0.023133,0.032055,0.016904,0.018271,0.026645,0.010215,0.042313,0.019414,0.042350,0.034539,0.049128,0.029198
0.105586,0.096600,0.110677,0.109632,0.102310,0.115262,0.082966,0.108728,0.082909,0.093670,0.071075,0.099723
0.463642,0.478746,0.453489,0.455695,0.469499,0.442852,0.497311,0.457549,0.497381,0.483102,0.510766,0.473826
0.094283,0.100622,0.089524,0.090589,0.096852,0.084158,0.106994,0.091472,0.107015,0.102267,0.110464,0.098661
0.267475,0.282242,0.257437,0.259624,0.273227,0.246846,0.300038,0.261460,0.300105,0.286457,0.312617,0.277456
